n,trial,method,length,time,approx_ratio
50,6,nearest_neighbor,631.2182452216309,0.002945332999843231,
50,6,two_opt,577.972138880894,0.023890583000138577,
50,7,nearest_neighbor,603.932797425506,0.0031516660001216223,
50,7,two_opt,584.2847483577013,0.013242750000244996,
50,8,nearest_neighbor,685.7958776705534,0.002803207999932056,
50,8,two_opt,634.4939256908503,0.02982116700059123,
50,9,nearest_neighbor,573.1928625856763,0.0030244999998103594,
50,9,two_opt,573.1928625856763,0.003306292000161193,
100,0,nearest_neighbor,906.5914315965563,0.024970208000013372,
100,0,two_opt,814.983104357519,0.224569292000524,
100,1,nearest_neighbor,837.4661195780556,0.024067207999905804,
100,1,two_opt,819.289909477646,0.0925995839997995,
100,2,nearest_neighbor,888.6147350413197,0.024661875000674627,
100,2,two_opt,851.0554687326777,0.21960341700014396,
100,3,nearest_neighbor,884.2733470363078,0.023586375000377302,
100,3,two_opt,842.0748207227376,0.20905045800009248,
100,4,nearest_neighbor,886.3448372208604,0.02401129099962418,
100,4,two_opt,813.3738183962995,0.298988417000146,
100,5,nearest_neighbor,872.2061354230583,0.024006999999983236,
100,5,two_opt,795.2273023896271,0.23184758299976238,
100,6,nearest_neighbor,844.52320453327,0.0253709999997227,
100,6,two_opt,823.2796312401331,0.1595841250000376,
100,7,nearest_neighbor,793.9470160747114,0.025286458999289607,
100,7,two_opt,769.0204655376733,0.22343370799990225,
100,8,nearest_neighbor,936.8817510063698,0.024504959000296367,
100,8,two_opt,857.7716248589709,0.297215084000527,
100,9,nearest_neighbor,896.3817458049006,0.024155666999831737,
100,9,two_opt,811.9901039272888,0.33867212499990273,
200,0,nearest_neighbor,1255.8021982543735,0.18273016700004518,
200,0,two_opt,1133.872847889958,3.4310845830004837,
200,1,nearest_neighbor,1220.8744104981752,0.17710812499990425,
200,1,two_opt,1137.9742900712322,3.276010165999651,
200,2,nearest_neighbor,1307.739160390894,0.1710367910000059,
200,2,two_opt,1236.1998988799694,3.858372916999542,
200,3,nearest_neighbor,1303.4621350541245,0.16693962499994086,
200,3,two_opt,1201.6767037542918,5.738307957999496,
200,4,nearest_neighbor,1218.3572741833668,0.16022274999977526,
200,4,two_opt,1077.6458037325945,4.05142720799995,
200,5,nearest_neighbor,1195.7372815255533,0.17639012499967066,
200,5,two_opt,1086.3387891260672,6.023848958000599,
200,6,nearest_neighbor,1233.5821386942523,0.1624750419996417,
200,6,two_opt,1120.6128282106627,4.156451834000109,
200,7,nearest_neighbor,1194.6417768481817,0.16538700000000972,
200,7,two_opt,1132.3070140111392,3.0601781249997657,
200,8,nearest_neighbor,1197.6121343962363,0.17316154199943412,
200,8,two_opt,1117.4910175700504,4.131664874999842,
200,9,nearest_neighbor,1274.4855388663052,0.17636033300004783,
200,9,two_opt,1185.299629846806,4.351373000000422,
